a_75,a_205,a_67,a_388,a_197,a_103,a_276,a_150,a_20,a_155,classe
481,476,487,498,473,460,475,503,483,537,-1
435,476,503,502,482,475,476,483,476,516,1
461,475,511,486,489,446,476,502,487,535,-1
501,478,474,505,482,463,475,499,494,470,1
520,475,500,530,483,469,476,451,462,491,-1
491,477,472,516,482,490,476,446,488,462,1
488,477,466,462,484,481,475,517,460,479,-1
485,477,478,488,460,480,475,507,481,477,-1
498,478,483,451,485,480,476,510,482,501,1
515,475,484,488,481,475,475,496,478,516,-1
441,475,485,461,482,479,477,454,478,483,1
467,477,500,482,478,495,477,467,485,473,1
518,477,473,497,477,474,476,508,506,500,-1
465,476,476,457,483,478,476,473,479,541,-1
466,477,504,483,493,464,476,490,473,475,1
467,478,484,530,487,471,476,570,486,499,1
458,477,434,497,480,486,476,528,486,449,1
464,476,513,467,479,493,477,484,503,498,1
528,475,510,493,477,489,476,599,475,525,-1
497,478,458,481,496,463,477,465,481,516,-1
479,475,462,519,500,496,476,429,483,499,1
440,474,476,498,487,486,476,522,485,465,-1
480,478,452,493,484,481,476,522,471,459,-1
558,477,495,504,481,467,475,458,495,505,1
435,473,460,462,486,481,476,510,463,491,1
574,478,501,506,479,460,475,501,488,503,-1
540,474,485,529,458,485,476,455,507,474,1
600,476,489,494,482,470,476,445,478,473,1
459,476,516,480,492,484,476,521,475,495,-1
488,476,486,493,495,485,477,517,508,464,-1
470,474,500,534,476,478,476,509,495,406,-1
492,476,448,489,486,495,477,466,502,508,-1
570,476,494,521,493,485,476,514,460,461,-1
518,476,486,490,489,500,476,436,472,496,-1
423,476,496,499,479,487,475,535,480,490,-1
496,476,500,501,488,485,476,506,488,550,1
537,477,540,485,486,484,476,514,499,468,1
504,477,460,470,476,505,475,477,488,488,-1
557,475,483,475,500,480,476,485,496,504,1
414,476,500,462,496,464,476,438,491,456,1
514,476,482,477,494,486,475,510,477,496,1
434,475,483,497,494,477,477,538,477,469,1
465,474,495,493,487,491,475,458,473,521,1
538,475,464,485,487,447,476,507,480,503,1
453,477,447,485,492,492,476,509,478,519,1
445,476,485,494,484,478,476,515,498,486,1
474,475,485,495,487,466,476,473,505,492,1
615,477,505,513,484,462,476,471,482,473,1
498,475,492,496,476,480,476,566,472,491,1
457,475,495,457,464,483,476,588,492,471,1
460,479,492,521,488,487,476,452,481,490,1
521,474,486,505,482,488,475,475,526,496,-1
532,475,476,498,485,488,476,469,501,483,1
520,477,501,454,476,485,477,478,478,427,-1
522,477,494,495,481,478,477,443,461,469,-1
606,477,514,477,472,485,477,440,476,499,1
588,473,526,485,473,492,476,513,487,489,1
476,477,469,510,473,473,476,456,480,501,1
533,476,490,488,489,502,476,501,478,440,1
494,473,490,479,490,459,477,493,488,478,-1
555,476,466,510,488,473,476,506,479,499,-1
452,475,510,478,477,490,477,477,487,513,-1
413,477,509,495,478,476,476,522,475,493,-1
493,476,488,456,485,478,476,487,486,509,-1
510,474,505,494,485,464,476,444,462,468,1
562,477,524,450,489,466,478,474,499,474,-1
484,477,502,496,478,483,476,479,481,465,-1
472,479,505,490,483,490,475,508,500,419,-1
480,474,483,503,478,456,476,521,486,482,1
519,475,483,486,496,472,477,466,470,485,-1
550,475,493,468,475,479,477,467,473,479,-1
587,474,474,496,471,469,476,509,488,488,1
409,476,439,506,492,496,476,528,479,489,-1
580,479,452,498,491,492,476,563,472,474,1
457,477,539,471,468,492,476,464,488,447,-1
515,478,482,499,487,467,476,422,480,458,-1
585,477,510,470,485,448,476,417,488,479,-1
479,476,495,479,488,490,477,494,492,464,-1
515,475,497,444,476,490,476,495,469,445,1
469,475,482,526,491,470,476,507,463,473,1
458,476,499,490,489,469,476,479,481,511,1
613,476,512,481,483,461,476,479,487,465,-1
522,474,477,477,484,477,476,430,479,498,-1
453,477,482,466,485,482,475,474,469,448,-1
532,475,470,497,483,473,476,517,490,503,1
537,478,518,511,469,471,478,521,471,474,1
542,475,483,509,486,461,477,503,465,475,1
538,475,522,490,488,461,476,518,493,486,-1
517,477,482,497,483,483,477,459,490,483,-1
602,476,507,497,473,491,475,452,446,500,1
468,476,469,473,470,448,476,432,470,502,-1
502,477,501,513,483,485,477,483,456,490,1
460,477,499,480,478,454,476,481,497,482,-1
651,476,477,529,492,484,476,481,500,516,-1
423,474,481,494,477,498,477,471,493,482,1
475,477,498,491,471,482,477,496,485,493,-1
482,475,497,498,472,475,476,511,469,496,-1
521,475,488,514,481,495,476,454,497,445,1
528,476,494,524,476,477,476,493,510,477,-1
498,476,472,509,476,471,476,414,491,474,1
454,475,486,465,474,476,475,511,475,511,1
473,476,487,495,477,451,476,481,504,478,-1
524,477,491,501,484,468,476,413,490,463,1
586,475,515,489,483,485,476,475,480,474,1
455,475,460,460,486,468,476,565,508,490,1
458,476,514,468,500,476,475,507,488,450,1
445,473,488,480,484,505,476,543,485,486,-1
466,476,491,538,477,478,475,508,478,506,-1
550,477,507,511,469,476,476,411,494,417,-1
462,478,464,497,487,471,476,437,494,465,1
615,476,513,502,485,468,476,501,474,470,1
538,473,569,517,483,456,476,566,495,480,1
511,480,454,483,485,472,474,567,482,492,-1
441,479,482,502,484,479,476,464,485,483,1
491,476,501,486,494,486,476,484,500,468,1
487,477,509,550,474,501,476,444,491,467,-1
522,473,490,473,480,497,477,484,453,463,1
472,475,498,468,488,500,476,396,491,499,-1
506,477,475,496,499,494,476,445,476,447,1
516,477,471,506,485,492,477,537,473,488,-1
510,477,458,490,475,483,476,479,499,474,1
510,477,545,496,475,493,476,466,464,484,1
537,474,511,537,486,488,476,504,482,464,1
491,475,492,513,477,466,476,499,481,503,1
502,477,515,497,492,488,475,445,491,451,-1
413,477,481,485,464,476,476,551,493,418,-1
522,477,483,506,495,461,476,456,489,524,-1
563,474,481,518,492,472,477,444,476,509,-1
469,478,475,520,486,486,476,544,479,462,-1
555,476,517,474,483,471,475,492,473,481,-1
509,477,460,499,468,495,476,429,478,522,-1
506,477,514,480,482,464,476,531,463,493,-1
481,476,474,477,481,478,477,570,483,434,1
486,477,495,499,488,471,476,437,492,468,1
522,474,466,483,487,491,476,510,470,433,1
531,475,483,505,481,499,476,490,497,500,-1
510,477,472,486,458,450,476,497,492,471,-1
535,475,465,533,487,474,476,569,511,493,1
464,477,489,528,484,460,475,519,477,512,1
544,478,508,492,489,463,477,551,502,489,-1
411,476,481,520,482,477,476,426,497,472,-1
544,478,495,490,481,487,477,455,492,493,1
497,476,504,534,485,451,476,468,487,471,-1
520,475,482,515,474,483,477,421,475,476,-1
484,475,538,520,485,473,476,489,497,456,-1
480,475,511,484,497,474,476,514,492,464,1
510,474,489,490,479,478,476,495,479,490,-1
494,476,457,515,489,499,476,535,479,450,-1
475,475,521,481,473,471,476,458,479,540,-1
454,475,505,529,494,487,477,444,497,533,-1
504,475,487,498,479,468,476,550,494,502,1
533,475,470,518,485,491,476,451,462,487,-1
505,477,469,503,474,479,477,511,470,553,-1
457,476,467,492,486,473,476,522,488,481,-1
472,474,499,490,480,473,476,424,491,425,1
442,475,466,494,475,475,475,483,476,485,-1
518,479,516,488,496,502,475,568,499,531,1
492,477,471,482,486,484,477,453,477,522,-1
530,477,513,501,482,466,476,513,480,487,-1
552,478,491,515,488,477,476,436,504,469,-1
479,474,463,505,494,506,477,504,476,494,-1
611,475,493,494,486,478,477,436,490,446,-1
498,477,473,501,483,474,477,568,493,513,-1
540,476,456,494,483,452,476,509,450,506,-1
484,477,486,525,496,488,477,544,494,487,1
464,475,502,533,484,494,476,522,456,461,-1
458,476,500,495,476,480,476,531,467,475,-1
443,478,463,485,483,489,476,470,473,464,-1
459,475,475,482,482,483,476,476,488,499,-1
503,478,482,499,489,481,475,512,504,475,-1
501,474,491,490,488,468,476,518,496,479,-1
452,476,487,455,479,480,477,503,488,477,1
486,477,476,502,484,499,476,515,481,503,1
546,475,462,492,490,479,476,476,486,489,1
475,478,490,493,484,452,476,509,464,518,-1
484,474,490,498,471,484,476,464,497,454,-1
515,476,457,479,476,489,476,458,472,497,-1
466,477,496,509,483,484,476,509,495,510,-1
503,475,469,481,481,451,475,434,477,488,-1
512,476,506,483,484,452,476,429,487,493,-1
530,477,496,533,494,483,478,533,462,477,1
498,477,518,492,485,486,476,540,492,442,1
428,475,487,484,471,490,475,531,486,495,-1
526,476,488,495,492,480,475,578,485,499,1
529,475,453,467,481,476,475,438,486,544,-1
605,473,499,489,486,471,477,460,475,502,1
515,476,513,494,490,483,477,461,490,433,1
567,477,497,504,480,468,476,487,493,498,1
536,477,473,501,485,477,476,543,506,467,1
417,478,506,472,485,461,476,450,483,468,-1
506,474,508,496,476,496,476,478,479,493,1
536,475,452,506,493,477,476,453,491,522,-1
481,475,487,511,490,484,477,465,480,485,-1
514,477,433,503,494,464,476,448,472,500,1
555,475,494,498,473,475,476,583,484,452,1
553,478,490,497,479,474,476,564,497,449,-1
513,477,496,451,474,475,476,408,475,500,1
585,478,472,469,476,476,477,553,468,471,1
565,477,504,473,493,481,477,452,484,474,1
575,476,458,499,489,490,476,452,489,495,1
488,474,482,499,500,449,477,526,506,449,1
577,476,491,489,485,451,476,487,484,461,1
502,476,499,543,500,487,475,419,491,477,-1
473,476,502,493,481,474,476,479,480,485,1
519,477,477,525,477,497,477,544,481,466,1
559,475,488,522,484,470,477,506,483,478,-1
495,476,518,489,485,473,476,532,473,477,-1
478,475,508,482,481,488,476,489,490,485,-1
519,476,535,495,498,482,476,470,499,491,1
515,479,504,478,500,463,476,480,459,470,-1
548,477,561,479,501,475,475,443,471,448,-1
557,477,501,465,477,478,476,492,480,478,1
551,476,489,505,481,477,477,565,500,494,-1
466,476,490,510,475,472,476,488,483,469,1
473,477,490,496,484,479,477,501,489,436,1
565,475,493,488,486,470,475,462,490,467,-1
510,474,504,449,467,473,476,524,464,500,1
507,478,496,502,488,470,475,529,490,496,-1
494,476,495,482,492,476,476,405,493,489,1
506,477,502,489,483,472,476,536,475,566,1
539,475,509,490,491,502,476,445,510,484,1
515,474,533,478,479,465,476,512,500,491,1
586,476,518,492,479,496,476,466,496,493,1
488,476,509,456,485,470,476,467,482,483,-1
486,474,513,501,463,496,476,530,487,454,-1
510,477,483,487,486,469,477,540,472,445,1
500,475,478,505,471,469,476,525,484,528,-1
545,476,485,515,470,492,476,535,477,487,1
579,476,441,467,491,498,476,480,503,470,1
529,478,498,504,483,499,476,488,486,493,1
532,474,487,499,470,471,475,516,491,479,1
591,476,492,472,480,477,476,517,479,476,1
512,475,481,469,479,469,476,481,515,484,-1
581,479,472,477,491,470,476,483,486,485,1
517,476,505,502,483,462,477,498,486,508,-1
514,475,528,476,481,477,477,428,517,516,-1
520,477,498,491,489,495,477,544,488,457,1
491,476,517,517,483,487,475,415,494,517,1
547,477,464,474,494,481,476,473,495,470,1
542,475,483,482,480,486,476,408,493,437,-1
507,476,485,493,493,468,476,463,492,482,1
470,477,524,501,481,480,476,409,483,510,-1
477,476,495,502,474,480,476,433,495,492,-1
529,472,504,496,495,491,476,473,482,521,-1
502,479,474,494,479,482,476,502,489,502,-1
476,476,507,462,488,486,476,501,473,538,1
533,478,482,491,483,505,476,535,487,532,1
454,476,486,514,486,475,476,542,490,445,-1
501,477,463,456,487,470,476,451,467,431,-1
523,478,477,479,472,487,477,361,492,519,1
468,476,499,508,482,467,477,482,491,482,1
515,476,447,524,490,465,476,449,483,493,1
554,475,475,479,492,474,477,510,469,472,-1
517,477,554,495,477,475,477,570,477,475,-1
508,477,489,531,488,496,476,489,489,471,1
499,476,509,466,474,486,476,455,466,513,1
506,477,469,529,485,467,477,483,465,513,1
475,474,505,497,481,480,476,421,483,465,-1
541,476,459,513,482,494,476,491,482,461,1
491,479,468,468,496,490,476,529,456,564,1
545,476,500,505,469,481,477,466,500,527,1
493,475,499,501,475,456,476,510,475,500,1
487,476,464,502,496,478,477,514,505,440,1
450,476,490,496,486,494,476,529,480,507,-1
417,476,463,477,480,457,475,560,460,494,1
420,478,506,500,474,486,476,549,474,449,-1
488,475,468,483,487,493,475,482,498,483,-1
419,475,473,503,475,482,476,550,478,476,-1
492,476,503,519,478,467,477,367,488,504,1
450,477,506,503,476,473,476,501,478,508,1
472,476,499,527,469,496,476,482,489,523,-1
481,474,490,481,492,482,477,469,473,504,1
611,477,461,460,492,491,476,448,498,493,1
477,478,499,520,483,480,476,457,478,494,1
482,475,471,545,497,474,475,502,478,535,-1
595,475,453,497,484,453,476,448,495,439,1
519,474,465,478,487,495,476,416,515,434,1
508,475,499,504,476,444,477,508,496,466,-1
503,476,524,507,470,498,476,459,487,454,-1
522,478,458,473,485,480,475,468,476,495,-1
526,476,456,493,478,493,476,566,505,466,1
540,476,505,483,473,516,476,434,485,508,1
506,477,487,505,473,480,476,530,488,468,-1
466,477,479,484,472,488,476,464,452,526,-1
541,476,485,513,470,470,476,451,495,522,-1
525,479,494,502,486,456,476,466,486,490,-1
471,475,476,492,482,456,476,422,463,504,1
494,478,471,510,484,497,475,508,485,504,1
461,477,503,500,498,476,476,532,487,445,1
491,475,489,462,488,468,475,529,487,515,-1
505,474,483,478,494,465,476,563,490,466,1
514,475,473,472,483,486,477,477,480,495,1
557,475,475,487,498,466,475,501,471,496,-1
463,476,503,506,480,460,477,465,502,476,-1
555,473,534,498,480,475,477,438,480,487,1
567,476,463,511,487,486,476,516,493,487,1
552,477,505,463,491,493,477,442,476,496,1
456,478,464,495,488,473,477,518,457,481,-1
534,475,474,515,480,471,478,524,486,493,1
514,476,469,507,498,487,475,486,481,513,-1
524,477,493,504,487,472,476,514,483,493,-1
503,476,489,515,470,477,477,480,491,474,1
442,477,495,519,488,474,476,526,494,510,1
524,475,484,469,489,481,477,475,489,465,-1
447,477,501,464,485,471,477,495,506,495,-1
530,475,473,514,486,480,476,528,488,490,1
455,475,492,513,483,493,476,522,477,473,-1
504,478,508,469,493,462,476,497,459,445,-1
469,473,470,513,486,482,476,421,467,514,1
471,475,500,489,478,476,475,536,483,467,1
527,475,508,515,484,457,476,518,499,520,1
473,476,503,476,479,480,476,414,473,465,1
486,476,502,539,478,473,477,502,475,454,1
567,475,473,521,472,468,477,453,488,473,1
447,476,527,483,483,453,475,451,488,426,-1
524,477,472,494,493,467,477,535,480,487,1
481,477,511,513,460,475,476,492,496,480,1
486,476,485,473,479,464,476,487,465,472,-1
489,477,466,497,490,494,475,474,473,466,-1
494,476,483,460,505,497,477,550,471,480,-1
535,476,508,485,502,481,477,556,480,491,-1
543,476,507,523,485,491,477,511,476,484,1
528,475,503,484,478,467,476,497,512,495,-1
533,475,489,521,482,464,476,478,491,515,-1
490,476,478,525,484,486,476,454,456,496,1
470,478,483,520,488,498,477,386,480,459,-1
500,476,489,510,470,483,476,511,493,515,-1
554,479,494,511,488,472,476,547,502,479,-1
505,474,541,502,481,471,477,485,477,514,1
506,476,471,487,505,481,476,514,499,522,1
466,477,518,490,485,467,476,525,502,494,1
588,478,466,515,480,481,476,464,495,484,1
434,475,502,498,498,452,477,540,478,509,1
483,476,461,497,490,515,476,437,474,442,-1
537,474,482,499,469,477,476,513,477,476,-1
509,477,456,505,491,475,476,422,484,479,-1
448,479,500,475,491,489,476,491,482,446,1
477,475,489,501,475,506,476,502,480,477,1
536,478,495,491,483,489,477,489,467,513,-1
486,476,505,511,484,480,476,354,493,535,1
505,477,513,479,482,452,476,576,503,490,-1
509,476,507,497,488,482,476,537,501,499,-1
455,475,462,483,484,464,475,479,481,498,-1
538,475,516,512,472,473,477,488,493,451,1
436,478,488,484,485,471,476,451,471,457,-1
447,479,439,523,478,462,477,477,476,477,1
525,476,530,496,473,467,476,452,495,496,-1
471,475,502,498,487,491,477,565,486,491,1
482,477,495,514,488,455,475,555,476,491,-1
507,477,516,495,475,463,478,514,478,466,-1
511,477,498,483,488,464,478,544,473,478,-1
493,477,472,478,480,467,476,461,482,431,1
467,477,487,535,494,503,477,441,478,505,1
503,476,473,477,488,447,477,458,477,484,-1
499,474,481,494,480,499,476,447,468,520,1
462,477,498,480,476,479,475,483,494,520,1
454,476,461,468,489,484,476,475,492,468,1
505,477,501,510,504,446,476,482,479,471,1
543,477,509,493,480,467,477,497,475,471,1
505,477,484,471,483,474,476,499,489,440,1
519,475,463,478,496,489,476,530,466,489,1
499,477,468,512,478,471,477,479,472,478,1
510,476,456,509,483,459,476,509,470,509,1
507,476,486,513,475,510,476,504,468,489,-1
444,475,506,487,478,491,476,408,499,496,-1
524,476,524,515,486,500,476,386,480,508,1
521,478,445,484,484,465,477,549,484,490,1
528,475,496,493,483,486,476,528,495,493,-1
489,474,523,451,485,477,475,535,487,515,-1
507,477,475,467,476,465,475,440,489,500,1
555,477,510,498,474,493,476,524,478,485,-1
501,476,501,462,488,495,477,473,500,437,-1
470,475,474,513,496,483,476,488,487,468,1
527,476,474,487,490,455,476,517,494,502,-1
585,476,486,520,492,471,477,526,493,517,1
454,477,488,461,484,492,476,479,507,531,1
606,474,517,503,493,462,476,516,490,473,-1
494,476,499,526,483,483,477,541,471,532,1
492,476,521,481,459,494,477,485,493,477,1
516,477,495,499,478,491,476,537,500,470,1
559,475,499,498,488,491,476,440,472,495,1
515,476,497,481,475,496,476,413,480,472,1
451,477,475,489,482,492,477,597,471,467,1
533,476,495,502,482,480,477,438,464,476,-1
478,476,465,511,491,486,476,441,495,489,-1
575,474,507,480,474,485,477,521,485,483,-1
521,475,496,495,477,482,476,509,460,504,1
510,476,452,485,484,505,476,384,483,525,-1
496,477,472,468,489,499,477,475,483,458,-1
529,475,497,519,472,464,476,492,497,465,-1
565,476,510,511,488,473,475,482,496,470,1
541,477,501,476,489,484,475,452,474,471,1
444,475,507,468,476,487,475,498,474,522,1
554,478,506,503,494,500,475,423,459,569,-1
433,476,488,487,483,495,477,446,504,522,-1
529,474,493,520,477,490,475,475,479,479,1
533,475,489,461,490,476,476,481,485,526,1
466,478,499,445,482,488,476,476,486,491,1
516,475,483,475,477,463,476,485,500,492,1
558,476,494,501,492,496,477,505,500,486,-1
538,475,489,480,483,476,475,581,474,460,1
384,475,481,503,475,466,476,452,480,518,1
542,474,478,499,486,471,477,499,495,530,1
484,476,480,500,497,477,476,506,481,479,1
538,476,507,507,471,453,475,443,502,502,-1
534,473,510,515,471,499,476,504,464,491,1
498,478,490,486,477,481,476,467,513,502,-1
528,478,480,498,494,479,476,509,474,530,-1
471,476,469,494,502,471,478,455,462,472,1
496,477,535,502,477,468,476,571,478,474,-1
492,477,493,461,486,462,476,505,498,499,1
490,475,489,469,489,468,476,515,472,491,-1
433,476,477,479,481,484,476,452,498,534,1
503,477,472,474,478,466,476,528,488,509,1
475,475,485,531,469,455,476,510,489,506,-1
463,475,489,504,470,484,477,471,477,460,1
448,475,479,479,490,457,475,480,483,468,-1
490,475,488,510,487,461,477,447,489,462,1
485,476,480,520,473,482,475,448,472,511,-1
494,475,477,527,496,479,476,451,455,491,1
491,476,478,509,482,463,476,448,479,534,1
544,477,524,522,477,463,477,493,466,496,1
464,477,474,466,499,491,477,486,487,447,-1
444,476,484,493,490,495,476,503,494,506,1
495,476,528,505,488,499,476,399,454,561,-1
527,477,495,500,493,461,477,497,479,482,1
462,479,494,500,490,475,476,481,500,456,-1
479,475,516,487,480,483,476,492,489,464,-1
504,475,463,501,476,490,476,442,488,513,-1
498,475,491,506,466,470,478,404,475,490,-1
468,477,465,483,495,467,477,479,496,502,-1
468,476,483,505,468,486,475,437,478,489,-1
579,477,471,481,509,467,476,514,487,569,1
518,476,482,494,482,481,476,484,504,513,-1
371,474,481,480,468,488,476,483,488,496,-1
536,476,524,468,475,497,477,470,468,494,1
507,477,508,479,488,476,476,494,482,513,-1
478,472,468,465,478,464,476,552,513,517,1
551,478,439,482,477,469,476,526,463,517,1
512,474,481,492,469,467,477,401,484,491,1
511,474,473,526,487,488,476,538,479,465,-1
510,476,477,497,474,480,476,451,477,546,-1
415,478,467,496,476,477,476,555,492,463,1
462,476,504,491,485,464,477,468,480,555,-1
444,476,511,499,489,479,477,500,493,470,1
441,476,479,473,481,483,477,526,488,485,-1
544,476,499,476,481,454,475,428,493,491,1
455,477,492,471,471,463,477,504,480,485,1
548,476,503,502,483,474,475,543,488,480,-1
486,476,505,480,470,503,476,416,476,521,1
523,476,514,504,469,477,478,464,499,542,-1
489,476,502,504,490,496,476,460,504,492,-1
516,476,505,472,479,488,476,486,483,491,1
516,477,513,481,481,478,476,438,489,473,1
476,475,474,466,483,497,476,544,481,494,-1
532,477,485,491,488,463,475,537,480,485,1
514,476,465,515,483,478,476,423,483,496,1
556,475,495,464,483,468,476,526,494,452,1
541,474,469,496,486,494,476,478,474,502,-1
496,475,479,481,490,477,476,442,481,504,-1
448,477,487,491,481,457,477,529,476,510,-1
538,477,492,506,476,485,476,510,507,508,1
493,476,513,485,486,485,476,480,471,464,1
475,478,495,539,473,500,477,414,489,482,-1
517,477,477,508,474,479,476,431,471,443,1
477,476,509,494,468,533,477,527,493,471,-1
537,476,516,490,465,475,476,510,486,509,1
452,475,473,527,485,494,477,470,502,436,-1
509,474,485,466,469,485,476,480,467,507,-1
497,474,478,509,476,490,476,564,484,515,-1
545,478,466,493,475,466,476,536,499,451,1
522,476,482,447,486,473,475,450,505,485,1
528,474,490,491,478,474,477,472,499,440,1
498,477,482,429,496,484,477,465,486,551,-1
509,477,486,473,481,472,476,462,465,488,1
438,477,523,544,491,467,476,492,468,485,-1
480,478,419,560,497,465,476,489,507,467,1
484,475,484,507,481,466,475,466,490,490,-1
577,472,558,482,481,490,476,552,473,524,1
509,477,494,464,484,477,477,521,484,500,1
536,477,511,503,469,479,476,517,474,497,-1
485,478,505,534,481,457,476,466,474,466,1
452,474,505,474,467,458,476,511,469,473,-1
428,476,526,484,496,445,477,571,488,484,1
526,475,452,479,494,444,476,458,487,463,-1
458,477,544,500,483,455,477,441,493,491,1
604,474,498,500,482,483,477,438,480,482,-1
514,474,501,523,486,501,477,580,494,454,-1
426,476,455,496,483,494,477,495,480,500,-1
543,476,514,487,495,476,475,427,481,514,-1
562,476,547,492,496,494,477,524,480,490,1
467,476,465,501,479,481,475,442,490,519,-1
425,475,486,499,485,494,477,509,500,534,-1
490,473,485,477,478,477,478,535,484,494,1
460,475,497,460,476,484,476,490,468,489,1
464,477,501,496,473,476,476,483,479,533,1
613,478,493,513,489,474,476,501,476,509,1
485,478,494,510,480,469,478,426,467,529,-1
552,477,495,514,501,501,476,487,474,516,-1
497,475,484,524,482,470,476,527,479,479,1
539,480,471,494,485,476,476,428,468,466,-1
506,474,495,503,491,489,475,511,494,529,1
482,473,489,505,479,479,476,451,498,473,1
488,475,447,480,489,493,476,458,490,496,1
513,477,471,507,488,488,477,434,502,511,1
511,476,475,496,467,469,475,477,495,514,-1
508,476,463,523,483,493,475,481,501,510,-1
529,474,463,484,484,465,476,472,506,492,1
599,476,489,508,503,463,476,515,503,468,-1
541,476,535,482,481,498,477,518,495,482,1
557,476,424,501,473,505,476,500,474,520,-1
568,475,518,481,473,497,477,472,490,526,1
544,475,466,497,480,444,476,433,486,508,1
415,475,519,509,485,457,477,493,466,561,1
498,475,489,487,472,464,477,527,476,471,-1
482,477,463,513,488,489,475,519,477,437,1
472,477,492,493,483,476,476,477,460,496,1
447,477,443,446,484,492,476,572,503,461,1
427,475,478,516,490,472,476,531,496,478,1
536,477,484,492,477,488,476,455,485,469,-1
516,477,515,531,491,481,476,571,487,486,1
446,475,453,498,479,474,476,412,486,499,1
523,476,458,494,489,469,477,475,501,459,1
498,477,502,516,490,486,476,507,450,459,-1
479,477,456,510,478,485,477,570,500,505,-1
537,477,485,486,489,491,476,515,494,497,-1
468,477,516,503,479,467,475,540,458,557,-1
556,475,526,497,481,452,476,443,483,464,1
492,475,472,474,480,489,477,489,472,516,-1
434,476,491,468,492,489,476,507,491,498,-1
573,475,425,482,487,465,477,521,440,505,-1
536,473,492,518,486,474,476,507,490,497,1
514,475,483,503,480,482,477,549,480,466,1
500,473,499,518,480,473,476,502,487,497,1
480,476,515,507,480,483,476,457,491,437,1
597,477,499,483,503,465,476,553,496,498,-1
460,479,487,479,495,456,477,495,479,524,-1
434,477,482,499,482,508,476,438,463,476,1
480,476,500,467,488,478,476,461,501,505,1
504,473,509,487,482,494,476,465,465,447,-1
490,475,479,502,483,490,477,441,491,467,1
489,478,487,509,488,485,475,460,518,503,1
518,476,528,522,482,478,476,508,484,474,1
541,477,490,515,490,473,476,527,479,489,1
502,475,532,476,472,467,475,515,508,491,-1
474,476,453,489,470,444,476,504,486,477,-1
488,475,524,513,483,495,477,466,497,477,-1
534,477,513,531,487,448,476,451,482,514,-1
482,475,448,459,506,476,476,477,475,432,-1
546,477,496,491,480,444,476,484,483,465,-1
489,476,506,468,486,473,476,469,505,459,-1
578,475,494,526,479,483,475,492,499,482,-1
440,477,509,476,486,489,476,481,480,449,1
526,477,471,465,472,471,476,448,487,502,-1
572,475,486,511,490,476,477,484,484,509,-1
491,475,491,526,482,467,476,543,474,474,1
462,476,483,496,485,474,478,591,469,460,-1
481,474,518,466,494,473,476,388,484,510,1
465,476,523,497,470,482,476,511,453,457,-1
497,475,505,505,482,483,476,352,459,503,1
529,476,515,498,504,466,476,484,480,493,1
498,477,527,505,486,481,476,464,478,472,-1
487,476,521,485,496,492,477,514,487,506,-1
499,475,470,504,477,501,476,465,490,544,-1
595,478,468,512,471,469,475,487,487,500,1
474,476,515,492,482,480,477,498,503,488,-1
470,478,475,491,487,515,477,431,475,496,-1
445,477,493,522,464,459,475,462,490,471,1
547,477,473,482,491,458,476,575,504,499,1
454,478,514,496,465,473,477,474,486,523,1
553,476,522,494,489,453,477,583,478,514,1
609,478,498,472,476,477,476,487,492,505,-1
509,475,486,493,485,497,478,454,487,521,1
412,475,499,499,476,480,477,478,472,536,1
536,475,395,511,474,475,476,506,485,466,1
517,475,510,506,489,489,477,424,466,493,1
377,476,481,521,488,454,476,504,502,473,-1
484,476,461,492,493,476,476,524,485,517,1
471,477,465,480,495,485,476,428,482,477,-1
504,476,478,509,486,482,476,572,479,510,-1
561,474,448,494,476,495,476,532,497,508,1
483,476,472,462,483,493,476,463,479,462,-1
494,478,473,498,473,464,476,518,509,463,-1
504,476,524,460,487,464,477,485,463,475,-1
579,477,477,485,503,451,477,493,510,486,-1
466,477,518,508,485,514,477,481,488,456,1
463,479,465,483,481,498,476,545,488,472,1
466,473,486,482,483,456,476,546,489,505,-1
496,477,473,482,479,465,476,483,484,472,1
592,478,475,456,464,480,477,476,497,487,1
505,475,494,504,492,491,477,430,481,487,1
492,477,497,502,483,465,476,515,487,494,1
459,478,467,487,495,463,476,467,489,442,1
512,477,504,478,486,478,476,477,472,468,1
498,478,462,519,485,505,476,524,498,493,1
507,475,467,512,478,475,476,487,499,473,1
445,478,445,459,495,466,478,535,481,470,-1
496,476,480,503,479,469,477,502,501,523,-1
480,478,464,503,484,471,476,525,494,510,-1
557,475,471,507,476,487,476,500,494,465,1
530,477,483,495,482,489,477,435,492,463,-1
554,475,494,481,479,482,476,531,469,473,1
536,477,511,505,484,506,476,455,478,495,1
515,476,432,507,481,461,477,520,483,474,-1
550,474,492,490,496,491,476,544,464,439,1
445,475,467,497,483,491,477,469,493,432,-1
499,475,461,479,482,487,476,403,496,512,1
486,476,502,481,485,487,476,439,490,474,-1
442,474,504,485,485,470,476,522,483,498,1
536,476,511,488,467,479,475,519,472,482,-1
523,476,471,481,467,475,476,446,497,463,1
451,476,472,511,494,497,477,612,495,496,1
567,477,521,487,491,467,476,429,469,474,1
549,475,481,493,474,478,476,475,469,462,-1
486,476,504,479,476,483,476,515,482,495,1
584,475,461,483,476,509,476,375,495,502,-1
528,477,469,477,491,472,476,417,489,495,-1
512,476,513,498,484,462,476,496,477,480,1
485,476,484,503,483,481,475,456,479,500,-1
501,478,465,454,487,483,476,494,473,447,1
